Title,Link,Company,Location,City,Is_Recent,Type,Experience_Type,Years_Of_Experience,Skills_Count,Skills_Set
International Product Manager(pharmaceutical),https://wuzzuf.net/jobs/p/swGYdwd3Xzft-International-Product-Managerpharmaceutical-Cairo-Egypt?o=1&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Confidential,"Cairo, Egypt ",Egypt,False,Full Time,Manager,5,8,"['Marketing/PR/Advertising', 'Pharmaceutical', 'Pharmaceutical', 'Product Management', 'Product Development', 'Medical', 'Analysis', 'Marketing']"
Product Manager,https://wuzzuf.net/jobs/p/L6Wb8cgr9aME-Product-Manager-Cairo-Egypt?o=2&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Confidential,"Cairo, Egypt ",Egypt,True,Full Time,Experienced,5,10,"['Business Development', 'Operations/Management', 'Project/Program Management', 'business', 'Development', 'Growth', 'Marketing', 'Product', 'Product Development', 'Product Management']"
Senior Product Manager-Cards (Dubai),https://wuzzuf.net/jobs/p/qUy5MfJ9AyvF-Senior-Product-Manager-Cards-Dubai-Kuda-Technologies-Ltd-Dubai-United-Arab-Emirates?o=3&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Kuda Technologies Ltd,"Dubai, United Arab Emirates ",Emirates,True,Full Time,Not specified,0,10,"['Business Development', 'Marketing/PR/Advertising', 'Project/Program Management', 'Marketing', 'Product Management', 'Advertising', 'Sales', 'Computer Science', 'MBA', 'Management']"
Product Manager,https://wuzzuf.net/jobs/p/deU4fnghwmDI-Product-Manager-Auto-Tager-Cairo-Egypt?o=4&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Auto Tager,"Heliopolis, Cairo, Egypt ",Egypt,False,Full Time,Experienced,3,10,"['Project/Program Management', 'Analyst/Research', 'Agile', 'Computer Science', 'Information Technology (IT)', 'Management', 'Market Research', 'Product', 'Product Management', 'Product Development']"
Sr. Product Manager,https://wuzzuf.net/jobs/p/iLE8kSX6Ctvr-Sr-Product-Manager-GluCare-Integrated-Diabetic-Center-Dubai-United-Arab-Emirates?o=5&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,GluCare Integrated Diabetic Center,"Dubai, United Arab Emirates ",Emirates,False,Full Time,Not specified,0,10,"['IT/Software Development', 'Marketing/PR/Advertising', 'Project/Program Management', 'Product Management', 'Marketing', 'Sales', 'Information Technology (IT)', 'Computer Science', 'Project Management', 'Business Development']"
Product Manager,https://wuzzuf.net/jobs/p/CG3tfaetfM1A-Product-Manager-Zeal-IO-LTD-Cairo-Egypt?o=6&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Zeal IO LTD,"Cairo, Egypt ",Egypt,False,Full Time,Not specified,0,10,"['IT/Software Development', 'Marketing/PR/Advertising', 'Sales/Retail', 'Product Management', 'Marketing', 'Sales', 'Information Technology (IT)', 'Computer Science', 'Project Management', 'Sales Skills']"
"Manager, Product Development",https://wuzzuf.net/jobs/p/guU4iLsDPeb1-Manager-Product-Development-Mastercard-Incorporated-Dubai-United-Arab-Emirates?o=7&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Mastercard Incorporated,"Dubai, United Arab Emirates ",Emirates,False,Full Time,Not specified,0,10,"['Business Development', 'Marketing/PR/Advertising', 'Sales/Retail', 'Business Development', 'Sales', 'Sales Skills', 'Marketing', 'Product Management', 'Information Technology (IT)', 'Sales Target']"
Product Manager (Fashion Retail),https://wuzzuf.net/jobs/p/o0TQkVcNEfwL-Product-Manager-Fashion-Retail-A2Z-Lingerie-Alexandria-Egypt?o=8&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,A2Z Lingerie,"Smouha, Alexandria, Egypt ",Egypt,False,Full Time,Manager,4,9,"['Logistics/Supply Chain', 'Marketing/PR/Advertising', 'Fashion', 'Commercial', 'Product Management', 'Marketing', 'Supply Chain', 'Sales', 'Fashion Retail']"
Product Manager - Physical Security (NIT),https://wuzzuf.net/jobs/p/p5V7O6Ba23WZ-Product-Manager---Physical-Security-NIT-Ingram-Micro-Company-Riyadh-Saudi-Arabia?o=9&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Ingram Micro Company,"Riyadh, Saudi Arabia ",Saudi,False,Full Time,Not specified,0,10,"['IT/Software Development', 'Marketing/PR/Advertising', 'Sales/Retail', 'Product Management', 'Marketing', 'Sales', 'Information Technology (IT)', 'Computer Science', 'Project Management', 'Sales Skills']"
Product Manager - Cyber Security,https://wuzzuf.net/jobs/p/HOZMiE80irDW-Product-Manager---Cyber-Security-Ingram-Micro-Company-Riyadh-Saudi-Arabia?o=10&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Ingram Micro Company,"Riyadh, Saudi Arabia ",Saudi,False,Full Time,Not specified,0,10,"['IT/Software Development', 'Marketing/PR/Advertising', 'Sales/Retail', 'Product Management', 'Marketing', 'Sales', 'Information Technology (IT)', 'Computer Science', 'Project Management', 'Sales Skills']"
Product Management Internship - Egypt,https://wuzzuf.net/jobs/p/8VxpiWiiQ12U-Product-Management-Internship---Egypt-Sary-Technologies-Cairo-Egypt?o=11&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Sary Technologies,"Cairo, Egypt ",Egypt,False,Full Time,Not specified,0,10,"['IT/Software Development', 'Marketing/PR/Advertising', 'Project/Program Management', 'Product Management', 'Marketing', 'Sales', 'Information Technology (IT)', 'Computer Science', 'Sales Skills', 'Market Research']"
"Sr. Product Manager, UFG",https://wuzzuf.net/jobs/p/DBVL5sUNVMkG-Sr-Product-Manager-UFG-Amazon-MENA-Dubai-United-Arab-Emirates?o=12&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Amazon MENA,"Dubai, United Arab Emirates ",Emirates,False,Full Time,Not specified,0,10,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'information technology (it)', 'computer science', 'engineering', 'business analysis', 'agile', 'project management', 'sql']"
Assistant Product Manager,https://wuzzuf.net/jobs/p/6uV4jk2DYTVD-Assistant-Product-Manager-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=13&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Nahdet Misr Publishing Group,"Giza, Egypt ",Egypt,False,Full Time,Experienced,2,8,"['Marketing/PR/Advertising', 'Project/Program Management', 'Marketing', 'Management', 'Product Management', 'Product', 'Project Management', 'Project']"
Assistant Product Manager,https://wuzzuf.net/jobs/p/hgUCOmztOfys-Assistant-Product-Manager-Infinity-Clinic-Pharma-Cairo-Egypt?o=14&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Infinity Clinic Pharma,"Nasr City, Cairo, Egypt ",Egypt,False,Full Time,Experienced,1,10,"['Marketing/PR/Advertising', 'Medical/Healthcare', 'Sales/Retail', 'Communication skills', 'English', 'Pharmacy', 'Sales', 'Veterinary', 'Sales Field', 'Marketing']"
Product Manager,https://wuzzuf.net/jobs/p/ZGUlKs4TARx7-Product-Manager-Estafsar-Cairo-Egypt?o=15&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Estafsar,"Downtown, Cairo, Egypt ",Egypt,False,Full Time,Entry Level,0,11,"['0 - 5 Yrs of Exp', 'IT/Software Development', 'Marketing/PR/Advertising', 'Engineering - Telecom/Technology', 'Business Analysis', 'Analyst', 'Jira', 'Information Technology (IT)', 'Computer Science', 'English', 'Product Own']"
Product Development Manager ( Automotive Spare Parts ),https://wuzzuf.net/jobs/p/VDsNLiF8u2WP-Product-Development-Manager-Automotive-Spare-Parts-A-part-Auto-Cairo-Egypt?o=16&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,A-part Auto,"Cairo, Egypt ",Egypt,False,Full Time,Manager,7,10,"['Business Development', 'Marketing/PR/Advertising', 'Sales/Retail', 'Business Development', 'Communication', 'Development', 'Information Technology (IT)', 'Engineering', 'Management', 'Mechanical Engineering']"
Product Manager (role based in Oman),https://wuzzuf.net/jobs/p/V0H7YOFcKlyy-Product-Manager-role-based-in-Oman-Publicis-Group-Dubai-United-Arab-Emirates?o=17&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Publicis Group,"Dubai, United Arab Emirates ",Emirates,False,Full Time,Not specified,0,10,"['IT/Software Development', 'Marketing/PR/Advertising', 'Sales/Retail', 'Product Management', 'Marketing', 'Sales', 'Information Technology (IT)', 'Computer Science', 'Project Management', 'Sales Skills']"
Director Product Management (role based in Oman),https://wuzzuf.net/jobs/p/muSivqMqJUBd-Director-Product-Management-role-based-in-Oman-Publicis-Group-Dubai-United-Arab-Emirates?o=18&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Publicis Group,"Dubai, United Arab Emirates ",Emirates,False,Full Time,Not specified,0,10,"['IT/Software Development', 'Marketing/PR/Advertising', 'Project/Program Management', 'Product Management', 'Marketing', 'Sales', 'Information Technology (IT)', 'Management', 'Computer Science', 'Business Development']"
Senior Associate Product Management,https://wuzzuf.net/jobs/p/gATnBhOlOm6j-Senior-Associate-Product-Management-Publicis-Group-Riyadh-Saudi-Arabia?o=19&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Publicis Group,"Riyadh, Saudi Arabia ",Saudi,False,Full Time,Not specified,0,10,"['IT/Software Development', 'Marketing/PR/Advertising', 'Project/Program Management', 'Marketing', 'Product Management', 'Sales', 'Advertising', 'Analysis', 'Computer Science', 'Project Management']"
Senior Product Manager - (Travel/Tourism),https://wuzzuf.net/jobs/p/DBS5V9fnlWnS-Senior-Product-Manager---TravelTourism-Publicis-Group-Riyadh-Saudi-Arabia?o=20&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Publicis Group,"Riyadh, Saudi Arabia ",Saudi,False,Full Time,Not specified,0,10,"['IT/Software Development', 'Marketing/PR/Advertising', 'Sales/Retail', 'Sales', 'Marketing', 'Information Technology (IT)', 'Sales Skills', 'Project Management', 'Product Management', 'Computer Science']"
Senior Product Manager - (Travel/Tourism),https://wuzzuf.net/jobs/p/P3TMHwpP7aJV-Senior-Product-Manager---TravelTourism-Publicis-Groupe-Riyadh-Saudi-Arabia?o=21&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Publicis Groupe,"Riyadh, Saudi Arabia ",Saudi,False,Full Time,Not specified,0,10,"['IT/Software Development', 'Marketing/PR/Advertising', 'Sales/Retail', 'Sales', 'Marketing', 'Information Technology (IT)', 'Sales Skills', 'Project Management', 'Product Management', 'Computer Science']"
Product Manager - Business Events. Dubai based or willing to relocate,https://wuzzuf.net/jobs/p/E3VkP1sUQbID-Product-Manager---Business-Events-Dubai-based-or-willing-to-relocate-Platinumlist-Sharjah-United-Arab-Emirates?o=22&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Platinumlist,"Sharjah, United Arab Emirates ",Emirates,False,Full Time,Not specified,0,10,"['IT/Software Development', 'Marketing/PR/Advertising', 'Sales/Retail', 'Product Management', 'Marketing', 'Sales', 'Information Technology (IT)', 'Computer Science', 'Project Management', 'Sales Skills']"
Product marketing manager (PMM)- - Relocation to Abu-Dhabi,https://wuzzuf.net/jobs/p/fbchVoU129uo-Product-marketing-manager-PMM----Relocation-to-Abu-Dhabi-Dataloop-Ltd-Abu-Dhabi-United-Arab-Emirates?o=23&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Dataloop Ltd,"Abu Dhabi, United Arab Emirates ",Emirates,False,Full Time,Not specified,0,10,"['Marketing/PR/Advertising', 'Sales/Retail', 'Media/Journalism/Publishing', 'Marketing', 'Social Media', 'Market Research', 'E-marketing', 'Digital Marketing', 'Media', 'Sales']"
Product Marketing Manager (Remote),https://wuzzuf.net/jobs/p/ptr5gtlhtCOm-Product-Marketing-Manager-Remote-SiFi-Riyadh-Saudi-Arabia?o=24&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,SiFi,"Riyadh, Saudi Arabia ",Saudi,False,Full Time,Experienced,3,7,"['Marketing/PR/Advertising', 'Sales/Retail', 'B2B', 'Market Research', 'Marketing', 'Sales', 'SaaS']"
Product Sales Manager,https://wuzzuf.net/jobs/p/K13X9jsUA6LD-Product-Sales-Manager-Encore-Event-Technologies-LLP-Dubai-United-Arab-Emirates?o=25&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Encore Event Technologies LLP,"Dubai, United Arab Emirates ",Emirates,False,Full Time,Not specified,0,10,"['Customer Service/Support', 'Operations/Management', 'Sales/Retail', 'Sales', 'Sales Skills', 'Sales Target', 'Customer Service', 'Customer Support', 'Marketing', 'Customer Care']"
Quality Control Manager – Productions,https://wuzzuf.net/jobs/p/AyzHpIG3v13M-Quality-Control-Manager-–-Productions-Salt-Search-Ltd-Dubai-United-Arab-Emirates?o=26&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Salt Search Ltd,"Dubai, United Arab Emirates ",Emirates,False,Full Time,Not specified,0,10,"['R&D/Science', 'Quality', 'Engineering - Other', 'Quality Control', 'Quality Assurance', 'Quality', 'QC', 'Engineering', 'Production', 'QA']"
Sales Manager - Dairy Products - Fresh Food,https://wuzzuf.net/jobs/p/kIl7BWgEhuoM-Sales-Manager---Dairy-Products---Fresh-Food-Giza-Egypt?o=27&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Confidential,"Giza, Giza, Egypt ",Egypt,False,Full Time,Manager,7,7,"['males_only', 'Sales/Retail', 'Customer Service', 'Fresh food', 'Dairy', 'Sales', 'Sales Manager']"
Product & Brand Manager,https://wuzzuf.net/jobs/p/ckiNEOMPifRH-Product-Brand-Manager-Giza-Egypt?o=28&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Confidential,"Giza, Egypt ",Egypt,False,Full Time,Manager,3,10,"['IT/Software Development', 'Agile', 'Branding', 'Communication', 'Computer Science', 'Management', 'Product Development', 'Product', 'Product Management', 'business']"
Product Owner,https://wuzzuf.net/jobs/p/2kjDa2jhvLqE-Product-Owner-3Sixty-Giza-Egypt?o=29&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,3Sixty,"Dokki, Giza, Egypt ",Egypt,False,Full Time,Experienced,3,10,"['IT/Software Development', 'Project/Program Management', 'Engineering - Telecom/Technology', 'Product Owner', 'Product Management', 'Agile', 'Business Analysis', 'Management', 'Information Technology (IT)', 'Dental']"
Website Product Owner,https://wuzzuf.net/jobs/p/BCwKAXDiwdz5-Website-Product-Owner-COLORS-Cairo-Egypt?o=30&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,COLORS,"Heliopolis, Cairo, Egypt ",Egypt,False,Full Time,Experienced,3,7,"['IT/Software Development', 'Project/Program Management', 'Product Owner', 'Project Management', 'Website Management', 'E-Commerce', 'Product Management']"
E-Commerce Distribution Controller - Product Development,https://wuzzuf.net/jobs/p/V7aUvmPMUSrB-E-Commerce-Distribution-Controller---Product-Development-Emirates-Group-Careers-Dubai-United-Arab-Emirates?o=31&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Emirates Group Careers,"Dubai, United Arab Emirates ",Emirates,True,Full Time,Not specified,0,10,"['Administration', 'IT/Software Development', 'Marketing/PR/Advertising', 'microsoft office', 'commerce', 'accounting', 'finance', 'management', 'sales', 'business development']"
Senior Product Demand & Delivery Manager,https://wuzzuf.net/jobs/p/AGA7nBMN53be-Senior-Product-Demand-Delivery-Manager-Paymob-Solutions-Cairo-Egypt?o=32&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Paymob Solutions,"Cairo, Egypt ",Egypt,False,Full Time,Manager,2,10,"['IT/Software Development', 'Project/Program Management', 'Agile', 'Information Technology (IT)', 'Product', 'PMP', 'Project Management', 'Computer Science', 'Management', 'Product Management']"
Junior Product Manager,https://wuzzuf.net/jobs/p/QzMBo6i93hBG-Junior-Product-Manager-Seoudi-Supermarket-Giza-Egypt?o=33&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Seoudi Supermarket,"Sheikh Zayed, Giza, Egypt ",Egypt,False,Full Time,Experienced,0,11,"['0 - 2 Yrs of Exp', 'Customer Service/Support', 'IT/Software Development', 'Sales/Retail', 'Computer Science', 'Commerce', 'Agile', 'Information Technology (IT)', 'E-Commerce', 'Product Management', 'Product']"
Product Owner,https://wuzzuf.net/jobs/p/00PuyPg5MyfY-Product-Owner-QARA-Cairo-Egypt?o=34&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,QARA,"New Cairo, Cairo, Egypt ",Egypt,False,Full Time,Experienced,0,11,"['0 - 2 Yrs of Exp', 'IT/Software Development', 'Project/Program Management', 'Agile', 'Product Management', 'Product Owner', 'Business Analysis', 'User Stories', 'Research', 'User Research', 'Product Development']"
Director- Global Markets - Products,https://wuzzuf.net/jobs/p/lDDGN3WM24Gg-Director--Global-Markets---Products-First-Gulf-Bank-PJSC-Abu-Dhabi-United-Arab-Emirates?o=35&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,First Gulf Bank PJSC,"Abu Dhabi, United Arab Emirates ",Emirates,False,Full Time,Not specified,0,10,"['Operations/Management', 'Marketing/PR/Advertising', 'Media/Journalism/Publishing', 'Marketing', 'Social Media', 'Media', 'E-marketing', 'Market Research', 'Digital Marketing', 'Management']"
Sales Manager - Medical Furniture Products,https://wuzzuf.net/jobs/p/63kAdpaT0Qs9-Sales-Manager---Medical-Furniture-Products-Qalubia-Egypt?o=36&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Confidential,"khanka, Qalubia, Egypt ",Egypt,False,Full Time,Manager,7,10,"['Operations/Management', 'Medical/Healthcare', 'Sales/Retail', 'Sales Skills', 'Sales', 'Sales Target', 'Medical Furniture', 'Hospital', 'Medical', 'English']"
E-Commerce Account Manager,https://wuzzuf.net/jobs/p/6ImQeDbC8gsb-E-Commerce-Account-Manager-Ahmed-El-Sallab-Cairo-Egypt?o=37&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Ahmed El-Sallab,"Mokattam, Cairo, Egypt ",Egypt,True,Full Time,Experienced,4,10,"['Customer Service/Support', 'Marketing/PR/Advertising', 'Project/Program Management', 'E-Commerce', 'Sales', 'Retail', 'Sales Target', 'sales skills', 'Marketing', 'Magento']"
PRODUCT DEVELOPMENT OFFICER,https://wuzzuf.net/jobs/p/kG8EKrfOrcVg-PRODUCT-DEVELOPMENT-OFFICER-Emirates-Group-Careers-Dubai-United-Arab-Emirates?o=38&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Emirates Group Careers,"Dubai, United Arab Emirates ",Emirates,False,Full Time,Not specified,0,10,"['Business Development', 'IT/Software Development', 'Sales/Retail', 'Business Development', 'Sales', 'Engineering', 'Marketing', 'Information Technology (IT)', 'Computer Science', 'Microsoft Office']"
Products & Service Engineer,https://wuzzuf.net/jobs/p/3J0gWtnLjOJN-Products-Service-Engineer-STC-Kuwait-Kuwait-City-Kuwait?o=39&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,STC Kuwait,"Kuwait City, Kuwait ",Kuwait,False,Full Time,Not specified,0,10,"['IT/Software Development', 'Marketing/PR/Advertising', 'Sales/Retail', 'Sales', 'Sales Skills', 'Information Technology (IT)', 'Marketing', 'Sales Target', 'Engineering', 'Computer Science']"
Account Manager,https://wuzzuf.net/jobs/p/LDl93mkGWuRC-Account-Manager-Masria-Digital-Payment-MDP-Cairo-Egypt?o=40&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Masria Digital Payment (MDP),"New Cairo, Cairo, Egypt ",Egypt,False,Full Time,Manager,6,5,"['Customer Service/Support', 'Customer Service', 'payment', 'Product', 'Sales']"
Product Manager,https://wuzzuf.net/jobs/p/quLT98IyCvlA-Product-Manager-intella-Giza-Egypt?o=41&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,intella,"Dokki, Giza, Egypt ",Egypt,False,Full Time,Manager,3,5,"['IT/Software Development', 'Product Management', 'business', 'Sales', 'Product']"
Director- Global Market - Products,https://wuzzuf.net/jobs/p/DI2nRGwVeCZm-Director--Global-Market---Products-First-Gulf-Bank-PJSC-Dubai-United-Arab-Emirates?o=42&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,First Gulf Bank PJSC,"Dubai, United Arab Emirates ",Emirates,False,Full Time,Not specified,0,10,"['Operations/Management', 'Marketing/PR/Advertising', 'Media/Journalism/Publishing', 'Marketing', 'Social Media', 'Media', 'E-marketing', 'Market Research', 'Digital Marketing', 'Management']"
Intern - Product Support Engineer (Aerostructures),https://wuzzuf.net/jobs/p/LpRMpMP90z7g-Intern---Product-Support-Engineer-Aerostructures-Prattwhitney-Dubai-United-Arab-Emirates?o=43&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Prattwhitney,"Dubai, United Arab Emirates ",Emirates,False,Full Time,Not specified,0,10,"['Accounting/Finance', 'Marketing/PR/Advertising', 'Media/Journalism/Publishing', 'Accounting', 'Finance', 'Auditing', 'Microsoft Office', 'Financial Analysis', 'Marketing', 'Financial Management']"
Director- Global Market - Products,https://wuzzuf.net/jobs/p/NV4FVKHN46Ak-Director--Global-Market---Products-First-Abu-Dhabi-Bank-Dubai-United-Arab-Emirates?o=44&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,First Abu Dhabi Bank,"Dubai, United Arab Emirates ",Emirates,False,Full Time,Not specified,0,10,"['Operations/Management', 'Marketing/PR/Advertising', 'Media/Journalism/Publishing', 'Marketing', 'Social Media', 'Media', 'E-marketing', 'Market Research', 'Digital Marketing', 'Management']"
Export Manager - Engineering Products,https://wuzzuf.net/jobs/p/3MdA8mcJZFL0-Export-Manager---Engineering-Products-El-Teriak-Industrial-Group-Cairo-Egypt?o=45&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,El Teriak Industrial Group,"Zamalek, Cairo, Egypt ",Egypt,False,Full Time,Manager,7,10,"['Logistics/Supply Chain', 'Operations/Management', 'Sales Skills', 'Negotiation Skills', 'Negotiation', 'Communication', 'English', 'Export', 'Logistics', 'Supply Chain']"
Product Manager - (Pharmaceutical) Cosmetics,https://wuzzuf.net/jobs/p/D1suPHF4K7S1-Product-Manager---Pharmaceutical-Cosmetics-Orchidia-Pharmaceutical-Industries-Cairo-Egypt?o=46&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Orchidia Pharmaceutical Industries,"Obour City, Cairo, Egypt ",Egypt,False,Full Time,Experienced,2,10,"['Marketing/PR/Advertising', 'Project/Program Management', 'Pharmaceutical', 'Marketing', 'Product Management', 'Marketing Planning', 'Marketing Strategies', 'Pharmacy', 'Pharmaceutical', 'Public Relations (PR)']"
Senior Pruduct Manager,https://wuzzuf.net/jobs/p/gOHAGNPcbPIs-Senior-Pruduct-Manager-ArabWork-Cairo-Egypt?o=47&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,ArabWork,"Cairo, Egypt ",Egypt,False,Full Time,Experienced,5,4,"['IT/Software Development', 'Project/Program Management', 'Program Development', 'Product Management']"
Store Manager,https://wuzzuf.net/jobs/p/ZFHIApYC9ZlA-Store-Manager-floward-Cairo-Egypt?o=48&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,floward,"Cairo, Egypt ",Egypt,False,Full Time,Manager,5,10,"['Customer Service/Support', 'Operations/Management', 'Sales/Retail', 'Product knowledge', 'Sales', 'sales skills', 'store', 'Store Management', 'Retail', 'OR']"
Product Manager,https://wuzzuf.net/jobs/p/H6AqGBD2yFkv-Product-Manager-Hemmah-for-information-technology-Co-Cairo-Egypt?o=49&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Hemmah for information technology Co,"Nasr City, Cairo, Egypt ",Egypt,False,Full Time,Manager,2,3,"['IT/Software Development', 'Product Management', 'Project Management']"
Senior Product Owner,https://wuzzuf.net/jobs/p/GPXVlIu1AA0C-Senior-Product-Owner-Ibn-Sina-Pharma-Cairo-Egypt?o=50&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Ibn Sina Pharma,"New Cairo, Cairo, Egypt ",Egypt,False,Full Time,Experienced,4,10,"['IT/Software Development', 'Marketing/PR/Advertising', 'Project/Program Management', 'Development', 'Product Owner', 'product manager', 'Product', 'Management', 'Information Technology (IT)', 'Agile']"
"SECTION MANAGER, HOUSING",https://wuzzuf.net/jobs/p/2HIbSSrJyhtm-SECTION-MANAGER-HOUSING-alfanar-Group-Riyadh-Saudi-Arabia?o=51&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,alfanar Group,"Riyadh, Saudi Arabia ",Saudi,False,Full Time,Not specified,0,10,"['Human Resources', 'Operations/Management', 'Sales/Retail', 'Management', 'Sales', 'Sales Skills', 'Customer Service', 'Engineering', 'Human Resources (HR)', 'Operations']"
Business Development Manager (Technology Products),https://wuzzuf.net/jobs/p/Bfnw9Jnw4MUF-Business-Development-Manager-Technology-Products-Jeddah-Saudi-Arabia?o=52&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Confidential,"Jeddah, Saudi Arabia ",Saudi,False,Full Time,Experienced,7,8,"['Business Development', 'Sales/Retail', 'Business Development', 'business', 'Sales', 'sales skills', 'Negotiation', 'CRM']"
